Year,riders new,city,station
2018,"1,540",Pomona,Pomona
2018,"1,433",Arkadelphia,Arkadelphia
2018,"1,388",Deming,Deming
2018,"1,339",Wishram,Wishram
2018,"1,334",Browning,Browning
2018,"1,332",Hazlehurst,Hazlehurst
2018,"1,302",Rouses Point,Rouses Point
2018,"1,272",Windsor,Windsor
2018,"1,251",Gastonia,Gastonia
2018,"1,238",Schriever,Schriever
2018,875,South Portsmouth,South Portsmouth
2018,733,Lordsburg,Lordsburg
2018,726,Lexington - Barbecue Festival,Lexington / Barbecue Festival
2018,607,Connersville,Connersville
2018,433,Alderson,Alderson
2018,347,Montgomery,Montgomery
2018,285,Thurmond,Thurmond
2018,"280,000",Fullerton,Fullerton
2018,269,Sanderson,Sanderson
2018,"213,000",San Juan Capistrano,San Juan Capistrano
2018,"169,000",Charlotte,Charlotte
2018,"126,000",Merced,Merced
2018,"124,000",Orlando,Orlando
2018, -   ,Atmore,Atmore
2018, -   ,Bay St. Louis,Bay St. Louis
2018, -   ,Biloxi,Biloxi
2018, -   ,Chipley,Chipley
2018, -   ,Crestview,Crestview
2018, -   ,Gulfport,Gulfport
2018, -   ,Guthrie,Guthrie
2018, -   ,Lake City,Lake City
2018, -   ,Madison,Madison
2018, -   ,Mobile,Mobile
2018,317,NC State Fair - Raleigh,NC State Fair / Raleigh
2018, -   ,Pascagoula,Pascagoula
2018, -   ,Pensacola,Pensacola
2018, -   ,Tallahassee,Tallahassee
2018,"349,400",San Diego -- Old Town,San Diego -- Old Town
