,Year,Ridership,city
4,2016,N/A,Chipley
5,2017,N/A,Chipley
6,2018,N/A,Chipley
0,2012,15846.0,Cincinnati
1,2013,14812.0,Cincinnati
2,2014,13375.0,Cincinnati
3,2015,12326.0,Cincinnati
4,2016,11862.0,Cincinnati
5,2017,11144.0,Cincinnati
6,2018,8315.0,Cincinnati
0,2012,1944.0,Claremont
1,2013,2123.0,Claremont
2,2014,2117.0,Claremont
3,2015,2117.0,Claremont
4,2016,2474.0,Claremont
5,2017,2560.0,Claremont
6,2018,2542.0,Claremont
0,2012,4536.0,Cleburne
1,2013,4143.0,Cleburne
2,2014,3322.0,Cleburne
3,2015,3612.0,Cleburne
4,2016,3830.0,Cleburne
5,2017,3888.0,Cleburne
6,2018,3929.0,Cleburne
0,2012,Partial Data,Clemson
1,2013,Partial Data,Clemson
2,2014,Partial Data,Clemson
3,2015,Partial Data,Clemson
4,2016,Partial Data,Clemson
5,2017,Partial Data,Clemson
6,2018,Partial Data,Clemson
0,2012,50191.0,Cleveland
1,2013,50227.0,Cleveland
2,2014,48771.0,Cleveland
3,2015,46096.0,Cleveland
4,2016,47247.0,Cleveland
5,2017,53051.0,Cleveland
6,2018,48657.0,Cleveland
0,2012,2879.0,Clifton Forge
1,2013,2750.0,Clifton Forge
2,2014,2432.0,Clifton Forge
3,2015,2247.0,Clifton Forge
4,2016,2401.0,Clifton Forge
5,2017,2339.0,Clifton Forge
6,2018,1951.0,Clifton Forge
0,2012,16493.0,Coatesville
1,2013,16626.0,Coatesville
2,2014,14899.0,Coatesville
3,2015,14435.0,Coatesville
4,2016,15527.0,Coatesville
5,2017,17770.0,Coatesville
6,2018,17278.0,Coatesville
0,2012,4377.0,Colfax
1,2013,4479.0,Colfax
2,2014,4810.0,Colfax
3,2015,4631.0,Colfax
4,2016,6277.0,Colfax
5,2017,7035.0,Colfax
6,2018,5658.0,Colfax
0,2012,37119.0,Columbia
1,2013,35878.0,Columbia
2,2014,34873.0,Columbia
